seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
209,-8.901954755,116.3038,-8.901908888,116.3037548,-8.902000622,116.3038452
210,-8.90199192,116.3037602,-8.901943699,116.3037175,-8.902040141,116.3038029
211,-8.902027214,116.303718,-8.901976664,116.3036781,-8.902077764,116.303758
212,-8.902060599,116.3036738,-8.902008359,116.3036361,-8.902112839,116.3037115
213,-8.902092261,116.3036276,-8.902038257,116.3035925,-8.902146265,116.3036627
214,-8.902122283,116.3035793,-8.902066914,116.3035464,-8.902177652,116.3036122
215,-8.902150926,116.3035292,-8.902094486,116.3034982,-8.902207366,116.3035603
216,-8.902178165,116.3034777,-8.902120755,116.3034485,-8.902235576,116.303507
217,-8.902203933,116.3034251,-8.902145634,116.3033977,-8.902262232,116.3034525
218,-8.902228484,116.303371,-8.902169504,116.3033451,-8.902287463,116.3033969
219,-8.9022524,116.3033155,-8.902193082,116.3032904,-8.902311717,116.3033407
220,-8.902275991,116.3032586,-8.902216302,116.3032344,-8.90233568,116.3032828
221,-8.902299179,116.3032005,-8.902239225,116.303177,-8.902359134,116.3032241
222,-8.902322215,116.3031415,-8.902262161,116.3031182,-8.902382269,116.3031648
223,-8.902344874,116.3030816,-8.902284437,116.3030593,-8.902405311,116.3031039
224,-8.902366789,116.3030208,-8.902306039,116.3029994,-8.90242754,116.3030423
225,-8.902388387,116.3029593,-8.902327573,116.302938,-8.902449202,116.3029805
226,-8.902410133,116.3028971,-8.902349349,116.3028758,-8.902470918,116.3029184
227,-8.902432312,116.302835,-8.902371764,116.302813,-8.90249286,116.302857
228,-8.902455099,116.3027735,-8.902394854,116.3027507,-8.902515344,116.3027963
229,-8.902478576,116.3027132,-8.902418765,116.3026892,-8.902538387,116.3027371
230,-8.902503018,116.3026545,-8.902443922,116.3026288,-8.902562114,116.3026801
231,-8.902528668,116.3025978,-8.902470414,116.3025703,-8.902586921,116.3026253
232,-8.902555934,116.3025435,-8.902499123,116.3025131,-8.902612745,116.3025739
233,-8.902585326,116.3024919,-8.902530246,116.3024585,-8.902640407,116.3025253
234,-8.902616989,116.3024431,-8.902564082,116.3024064,-8.902669896,116.3024798
235,-8.902650873,116.3023979,-8.902600797,116.3023574,-8.90270095,116.3024384
236,-8.902686871,116.3023567,-8.902640058,116.3023124,-8.902733685,116.3024009
237,-8.902724775,116.3023196,-8.902681617,116.3022718,-8.902767934,116.3023674
238,-8.902764561,116.3022865,-8.902725452,116.3022353,-8.902803669,116.3023377
239,-8.902806436,116.3022574,-8.90277218,116.3022029,-8.902840691,116.302312
240,-8.902850454,116.3022327,-8.902821668,116.3021751,-8.90287924,116.3022903
241,-8.90289668,116.302212,-8.902872944,116.3021522,-8.902920415,116.3022719
242,-8.902945059,116.3021952,-8.902926392,116.3021335,-8.902963726,116.3022568
243,-8.902995442,116.3021818,-8.902981067,116.302119,-8.903009817,116.3022446
244,-8.903047946,116.3021715,-8.903037543,116.302108,-8.903058348,116.3022351
245,-8.903102453,116.3021641,-8.903095426,116.3021001,-8.903109481,116.3022281
246,-8.903158403,116.3021591,-8.903153912,116.3020948,-8.903162895,116.3022234
247,-8.90321562,116.3021557,-8.903212406,116.3020913,-8.903218834,116.30222
248,-8.903274087,116.3021532,-8.903271894,116.3020888,-8.903276281,116.3022176
249,-8.903333475,116.3021515,-8.903332003,116.3020871,-8.903334948,116.3022159
250,-8.903393566,116.3021504,-8.903392614,116.302086,-8.903394518,116.3022148
251,-8.90345374,116.3021497,-8.903453119,116.3020853,-8.903454362,116.3022141
252,-8.903513506,116.302149,-8.90351279,116.3020846,-8.903514222,116.3022135
253,-8.903572901,116.302148,-8.903571274,116.3020836,-8.903574528,116.3022124
254,-8.903632246,116.3021462,-8.903630026,116.3020818,-8.903634466,116.3022106
255,-8.903691667,116.3021439,-8.903688947,116.3020796,-8.903694387,116.3022083
256,-8.903750676,116.3021414,-8.903747841,116.302077,-8.90375351,116.3022057
257,-8.90380895,116.3021387,-8.903805972,116.3020744,-8.903811928,116.3022031
258,-8.903866309,116.302136,-8.903863102,116.3020716,-8.903869516,116.3022003
259,-8.903922792,116.3021332,-8.903919573,116.3020688,-8.903926011,116.3021975
260,-8.903978694,116.3021305,-8.903975671,116.3020661,-8.903981716,116.3021948
261,-8.90403439,116.3021278,-8.90403137,116.3020635,-8.904037409,116.3021922
262,-8.904090038,116.3021251,-8.904086834,116.3020608,-8.904093242,116.3021895
263,-8.904145332,116.3021223,-8.904141929,116.302058,-8.904148736,116.3021866
264,-8.904200357,116.3021194,-8.904197003,116.3020551,-8.904203711,116.3021837
265,-8.904255266,116.3021165,-8.904251849,116.3020522,-8.904258683,116.3021808
266,-8.904310124,116.3021134,-8.904306315,116.3020491,-8.904313934,116.3021777
267,-8.904365138,116.3021099,-8.904360593,116.3020456,-8.904369683,116.3021741
268,-8.904420604,116.3021057,-8.904415551,116.3020415,-8.904425657,116.3021699
269,-8.904476796,116.3021012,-8.904471617,116.302037,-8.904481975,116.3021654
270,-8.904533731,116.3020968,-8.90452885,116.3020326,-8.904538613,116.302161
271,-8.90459148,116.3020928,-8.904587432,116.3020285,-8.904595527,116.3021571
272,-8.904649998,116.3020895,-8.904646899,116.3020252,-8.904653096,116.3021539
273,-8.904709307,116.3020872,-8.904707428,116.3020228,-8.904711187,116.3021516
274,-8.904769167,116.3020865,-8.904769504,116.3020221,-8.904768829,116.3021509
275,-8.904828863,116.3020881,-8.904831904,116.3020237,-8.904825821,116.3021524
276,-8.904887869,116.3020923,-8.904894129,116.3020282,-8.90488161,116.3021565
277,-8.904945654,116.3020998,-8.904955826,116.3020362,-8.904935483,116.3021634
278,-8.905001585,116.3021102,-8.905015082,116.3020472,-8.904988088,116.3021732
279,-8.905055021,116.3021235,-8.905072621,116.3020615,-8.90503742,116.3021854
280,-8.905105194,116.3021402,-8.905128511,116.3020802,-8.905081877,116.3022003
281,-8.905151193,116.302161,-8.905180862,116.3021038,-8.905121524,116.3022181
282,-8.905192521,116.3021855,-8.905228653,116.3021322,-8.905156389,116.3022388
283,-8.905228715,116.3022139,-8.905272153,116.3021664,-8.905185278,116.3022615
284,-8.905259103,116.3022465,-8.905309574,116.3022064,-8.905208631,116.3022865
285,-8.905283373,116.3022829,-8.905339785,116.3022518,-8.905226962,116.302314
286,-8.905301407,116.3023233,-8.905362169,116.3023019,-8.905240644,116.3023447
287,-8.90531325,116.3023674,-8.905376519,116.3023554,-8.905249982,116.3023795
288,-8.905319147,116.3024152,-8.905383443,116.3024113,-8.905254851,116.3024191
289,-8.905319682,116.3024659,-8.905384052,116.3024683,-8.905255313,116.3024635
290,-8.905315179,116.3025189,-8.905379048,116.3025273,-8.905251311,116.3025105
291,-8.90530578,116.3025736,-8.905368797,116.3025869,-8.905242762,116.3025603
292,-8.905291691,116.3026293,-8.905353487,116.3026474,-8.905229894,116.3026111
293,-8.905273262,116.3026856,-8.905333865,116.3027074,-8.905212659,116.3026637
294,-8.905251419,116.3027422,-8.905311003,116.3027667,-8.905191836,116.3027177
295,-8.905226619,116.3027987,-8.905284957,116.302826,-8.905168281,116.3027714
296,-8.905199125,116.3028545,-8.905256346,116.3028841,-8.905141904,116.3028249
297,-8.905169495,116.3029097,-8.90522579,116.302941,-8.905113199,116.3028784
298,-8.905138343,116.3029644,-8.90519397,116.3029969,-8.905082717,116.3029319
299,-8.905106371,116.3030185,-8.90516165,116.3030516,-8.905051092,116.3029854
300,-8.905074071,116.303072,-8.90512908,116.3031055,-8.905019063,116.3030385
301,-8.905041868,116.3031249,-8.90509693,116.3031584,-8.904986806,116.3030915
302,-8.905010116,116.3031775,-8.905065324,116.3032107,-8.904954908,116.3031443
303,-8.904979042,116.3032297,-8.905034506,116.3032624,-8.904923579,116.3031969
304,-8.904948655,116.3032819,-8.905004549,116.3033139,-8.904892762,116.3032499
305,-8.904918723,116.3033344,-8.90497476,116.3033662,-8.904862685,116.3033027
306,-8.904889059,116.3033868,-8.904945135,116.3034185,-8.904832982,116.3033551
307,-8.904859559,116.303439,-8.904915602,116.3034707,-8.904803517,116.3034072
308,-8.904830348,116.3034905,-8.904886383,116.3035223,-8.904774314,116.3034587
309,-8.904801266,116.3035418,-8.904857331,116.3035736,-8.904745202,116.3035101
310,-8.904771916,116.3035936,-8.904827922,116.3036254,-8.904715911,116.3035618
311,-8.904742342,116.3036454,-8.904798222,116.3036775,-8.904686461,116.3036134
312,-8.904712547,116.303697,-8.904768201,116.3037294,-8.904656893,116.3036645
313,-8.904682545,116.3037485,-8.9047382,116.3037809,-8.90462689,116.303716
314,-8.90465278,116.3038002,-8.904708799,116.303832,-8.90459676,116.3037684
315,-8.90462372,116.3038523,-8.904680217,116.3038833,-8.904567222,116.3038214
316,-8.904595436,116.3039047,-8.904652314,116.303935,-8.904538558,116.3038745
317,-8.904567689,116.3039571,-8.904624661,116.3039872,-8.904510717,116.3039271
318,-8.904540447,116.3040092,-8.904597624,116.3040389,-8.904483269,116.3039795
319,-8.904513805,116.3040604,-8.904570911,116.3040902,-8.904456698,116.3040306
320,-8.904487339,116.3041108,-8.904544301,116.3041409,-8.904430378,116.3040808
321,-8.904460925,116.3041608,-8.904517855,116.3041909,-8.904403996,116.3041307
322,-8.904434958,116.3042101,-8.904492007,116.30424,-8.90437791,116.3041802
323,-8.904409415,116.3042591,-8.904466601,116.3042887,-8.904352229,116.3042294
324,-8.904384032,116.304308,-8.904441216,116.3043377,-8.904326847,116.3042784
325,-8.904358404,116.3043571,-8.904415406,116.3043871,-8.904301402,116.3043271
326,-8.904332373,116.3044062,-8.904389223,116.3044365,-8.904275523,116.304376
327,-8.904306202,116.3044555,-8.904363098,116.3044857,-8.904249306,116.3044253
328,-8.904279909,116.3045048,-8.904336701,116.3045352,-8.904223116,116.3044744
329,-8.90425341,116.304554,-8.904310054,116.3045847,-8.904196767,116.3045233
330,-8.904226797,116.3046029,-8.904283276,116.3046338,-8.904170317,116.3045719
331,-8.90420033,116.3046513,-8.904256923,116.3046821,-8.904143737,116.3046206
332,-8.904174027,116.3046996,-8.904230556,116.3047305,-8.904117499,116.3046687
333,-8.904147841,116.3047474,-8.904204307,116.3047784,-8.904091375,116.3047164
334,-8.904121738,116.3047949,-8.904178172,116.304826,-8.904065303,116.3047638
335,-8.904095467,116.304842,-8.904151536,116.3048737,-8.904039397,116.3048103
336,-8.904069098,116.304888,-8.904124811,116.3049204,-8.904013386,116.3048557
337,-8.904043007,116.3049328,-8.904098569,116.3049653,-8.903987445,116.3049002
338,-8.904017312,116.304976,-8.904072522,116.3050092,-8.903962102,116.3049429
339,-8.903991825,116.3050181,-8.90404677,116.3050517,-8.90393688,116.3049844
