t-long,t-lat
116.3066213,-8.894874416
116.306555,-8.894889139
116.3064928,-8.894910163
116.3064417,-8.894923996
116.3063795,-8.894943026
116.3063226,-8.89495813
116.3062666,-8.894974565
116.3062105,-8.894990978
116.3061542,-8.895005666
116.3060893,-8.895021789
116.3060118,-8.895043536
116.3059473,-8.895063155
116.3058947,-8.895079022
116.3058267,-8.895099175
116.3057637,-8.895116729
116.3056938,-8.895135466
116.3056318,-8.895149453
116.3055754,-8.895164214
116.305511,-8.895183783
116.3054418,-8.895198527
116.3053905,-8.895212398
116.3053226,-8.895232569
116.3052645,-8.895247555
116.3051999,-8.895265433
116.3051331,-8.89528195
116.3050745,-8.895295316
116.3050144,-8.895308899
116.3049576,-8.895321946
116.3048955,-8.89533862
116.3048341,-8.895355965
116.3047654,-8.895372773
116.3047071,-8.895387818
116.3046475,-8.895404861
116.3045757,-8.895423939
116.3045078,-8.895442355
116.3044383,-8.895460985
116.3043674,-8.895483406
116.3042877,-8.89550559
116.3042217,-8.89552551
116.3041564,-8.895540989
116.3040838,-8.895563601
116.3040006,-8.895580297
116.3039375,-8.89559963
116.3038729,-8.895619228
116.303812,-8.89563356
116.3037293,-8.895657227
116.3036933,-8.89566294
116.3036533,-8.895671528
116.3035836,-8.895690239
116.3035136,-8.895709863
116.303435,-8.895735118
